,dir_name,hd_name,CAT-RA,CAT-DEC,U,V,B,ra_h,dec_h,days
68,hd225095,HD 225095,0.86311388,55.55089821,7.15,7.95,7.91,00:03:27.147,+55:33:03.20,254
97,hip1036,,3.24686681,66.32206455,,10.58,11.22,00:12:59.247,+66:19:19.40,618
70,hd232214,HD 232214,8.29834955,51.66860946,,9.26,9.27,00:33:11.600,+51:40:07.00,618
103,hip3383,,10.75531257,64.11044253,,9.185,9.4,00:43:01.280,+64:06:37.50,618
104,hip3709,,11.90918162,66.75705541,,9.1,9.61,00:47:38.207,+66:45:25.40,618
91,hd6343,HD 6343,16.47074639,65.97105327,,7.257,7.348,01:05:52.980,+65:58:15.70,287
114,phiand,HD 6811,17.3755234,47.24179429,3.84,4.252,4.197,01:09:30.127,+47:14:30.40,691
163,v764cas,HD 7636,19.3595516,57.63208145,6.06,6.891,6.93,01:17:26.287,+57:37:55.40,288
72,hd236737,HD 236737,21.77461093,57.72180429,,8.54,8.63,01:27:05.900,+57:43:18.50,632
95,hd9709,HD 9709,24.01285426,47.11447114,6.59,7.07,7.02,01:36:03.087,+47:06:52.00,291
164,v771cas,,25.50386334,61.79544512,9.68,9.29,9.81,01:42:00.927,+61:47:43.60,632
165,v777cas,HD 11606,28.92856102,59.27344999,6.22,7.02,7.08,01:55:42.860,+59:16:24.40,291
166,v787cas,HD 13590,33.80404098,64.02445046,7.84,7.9,8.25,02:15:12.967,+64:01:28.00,415
27,hd13867,HD 13867,34.14998007,49.81987203,7.24,7.71,7.72,02:16:35.987,+49:49:11.50,239
28,hd14134,HD 14134,34.76855275,57.13549756,6.64,6.543,6.983,02:19:04.447,+57:08:07.70,461
29,hd14956,HD 14956,36.69040272,57.67917616,7.61,7.24,7.82,02:26:48.480,+57:40:42.40,461
167,v788cas,HD 15472,38.36082865,70.95650608,,7.91,7.92,02:33:26.600,+70:57:23.40,418
168,v801cas,HD 19243,47.22574418,62.38459712,7.778,6.503,6.713,03:08:54.180,+62:23:04.50,618
54,hd20134,HD 20134,49.24896864,60.06749072,8.859,7.47,7.54,03:16:59.747,+60:04:02.90,418
59,hd20566,HD 20566,50.8879172,71.41854501,,7.94,8.35,03:23:33.100,+71:25:06.70,86
63,hd20899,HD 20899,50.9859644,45.52559921,,8.4,8.59,03:23:56.627,+45:31:32.10,642
122,tyc3320-1861-1,,51.61612042,48.99176222,,10.14,10.5,03:26:27.867,+48:59:30.30,207
65,hd21455,HD 21455,52.3595155,46.93786711,,6.227,6.319,03:29:26.280,+46:56:16.30,617
67,hd21650,HD 21650,52.81533153,41.72645623,,7.33,7.36,03:31:15.680,+41:43:35.20,254
66,hd21641,HD 21641,52.88806678,47.8624159,6.47,6.773,6.746,03:31:33.140,+47:51:44.70,588
16,ctcam,HD 22298,54.50431811,55.17085675,9.546,7.69,8.09,03:38:01.040,+55:10:15.00,239
69,hd22648,HD 22648,56.27967626,74.54257975,,6.731,7.725,03:45:07.12,74:32:33.3,1872
71,hd23552,HD 23552,57.07531252,50.73676824,5.88,6.15,6.2,03:48:18.080,+50:44:12.30,618
73,hd23800,HD 23800,57.60446902,52.48190292,8.403,6.98,7.2,03:50:25.067,+52:28:54.80,588
75,hd26398,HD 26398,62.76415395,16.64698136,,6.98,7.31,04:11:03.400,+16:38:49.10,284
6,228eri,HD 28497,67.27885559,-13.04836762,4.48,5.59,5.392,04:29:06.927,-13:02:54.10,588
8,56eri,HD 30076,71.0221704,-8.50356737,4.98,5.775,5.699,04:44:05.320,-08:30:12.80,588
77,hd31648,HD 31648,74.69277226,29.84360418,,7.73,7.9,04:58:46.260,+29:50:36.90,130
76,hd284012,HD 284012,74.89844735,25.80748164,,8.3,8.66,04:59:35.620,+25:48:26.90,618
118,rwaur,HD 240764,76.95652603,30.40143818,,10.36,10.86,05:07:49.567,+30:24:05.10,81
0,105tau,HD 32991,76.9809852,21.70482363,5.51,5.92,6.08,05:07:55.440,+21:42:17.30,588
149,v414aur,HD 33232,77.70084625,41.00289547,7.79,8.24,8.27,05:10:48.200,+41:00:10.40,97
150,v416aur,HD 33604,78.30555713,40.19353105,6.68,7.38,7.36,05:13:13.327,+40:11:36.70,236
78,hd34302,HD 34302,79.54241966,37.65013615,,7.88,7.97,05:18:10.180,+37:39:00.40,79
127,v1369ori,HD 34959,80.33045052,4.01194718,,6.52,6.41,05:21:19.307,+04:00:43.00,588
128,v1372ori,HD 36012,82.20190252,2.1647131,,7.24,7.14,05:28:48.460,+02:09:52.90,178
1,120tau,HD 36576,83.38179818,18.54023076,4.94,5.667,5.642,05:33:31.627,+18:32:24.80,592
79,hd37115,HD 37115,83.97534042,-5.62842556,6.45,7.16,7.04,05:35:54.080,-05:37:42.30,254
80,hd37330,HD 37330,84.47272315,0.96860738,6.76,7.38,7.31,05:37:53.447,+00:58:07.00,254
81,hd37352,HD 37352,84.81313613,30.15055931,,7.69,7.79,05:39:15.147,+30:09:02.00,182
157,v434aur,HD 37657,85.58277168,43.05959179,6.66,7.25,7.25,05:42:19.860,+43:03:34.50,395
161,v731tau,HD 37967,85.83125736,23.20437322,5.51,6.227,6.157,05:43:19.500,+23:12:15.70,588
123,v1165tau,HD 38010,85.91274722,25.43954428,6.15,6.82,6.83,05:43:39.060,+25:26:22.30,471
82,hd39478,HD 39478,88.49936988,26.42252922,7.51,8.25,8.31,05:53:59.847,+26:25:21.10,588
159,v447aur,HD 40978,91.16003621,46.58511185,6.44,7.29,7.192,06:04:38.407,+46:35:06.40,487
3,17lep,HD 41511,91.2463712,-16.48443612,,4.974,5.148,06:04:59.127,-16:29:03.90,439
83,hd42406,HD 42406,92.65308739,3.87172048,,7.99,8.12,06:10:36.740,+03:52:18.10,270
107,hr2249,HD 43544,94.03204872,-16.61800603,5.0,5.959,5.795,06:16:07.687,-16:37:04.80,461
124,v1308ori,,94.68966086,15.28118118,12.89,11.95,13.28,06:18:45.500,+15:16:52.40,252
84,hd44996,HD 44996,96.08574553,-12.96193859,5.41,6.12,6.037,06:24:20.580,-12:57:42.90,463
116,pzgem,HD 45314,96.81574008,14.88922731,5.91,6.598,6.69,06:27:16.167,+14:53:04.40,395
14,betmonB,,,,,,,06:28:49.067,-07:01:59.00,617
85,hd45995,HD 45995,97.78984561,11.25137695,5.2,6.14,6.03,06:31:09.560,+11:15:04.90,498
86,hd47054,HD 47054,99.14721397,-5.21114187,5.05,5.57,5.44,06:36:35.327,-05:12:40.10,588
87,hd49888,HD 49888,102.53370585,-12.5847544,6.34,7.23,7.12,06:50:08.087,-12:35:05.10,86
88,hd50820,HD 50820,103.67517845,-1.75648764,6.42,6.27,6.711,06:54:42.040,-01:45:23.30,487
115,psi09aur,HD 50658,104.13357464,46.2739963,5.29,5.841,5.763,06:56:32.060,+46:16:26.30,642
117,qygem,HD 51354,104.42875618,17.90200988,6.29,7.15,7.02,06:57:43.487,+17:53:47.00,395
22,fucma,HD 52437,105.08067979,-22.11906116,5.54,6.513,6.343,07:00:19.360,-22:07:08.60,180
25,gucma,HD 52721,105.45629071,-11.30092274,5.88,6.58,6.6,07:01:49.507,-11:18:03.30,249
162,v750mon,HD 53367,106.10638371,-10.45437235,6.81,7.04,7.36,07:04:25.527,-10:27:15.70,86
89,hd53416,HD 53416,106.39449779,14.47311115,,7.05,6.94,07:05:34.680,+14:28:23.20,415
20,ewcma,HD 56014,108.56338299,-26.35250867,3.76,4.65,4.45,07:14:15.207,-26:21:09.00,180
23,fwcma,HD 58343,111.16744754,-16.20147261,4.68,5.2,5.16,07:24:40.187,-16:12:05.30,588
24,fycma,HD 58978,111.74784261,-23.08602157,4.51,5.56,5.45,07:26:59.480,-23:05:09.60,249
15,bngem,HD 60848,114.27388616,16.90424866,5.51,6.921,6.712,07:37:05.727,+16:54:15.30,249
90,hd61224,HD 61224,114.41167112,-14.44076261,6.22,6.526,6.505,07:37:38.800,-14:26:26.70,209
94,hd86612,HD 86612,149.77626537,-23.95076935,5.43,6.21,6.11,07:43:32.127,-04:40:50.30,209
4,1pup,HD 62623,115.95195301,-28.95482556,4.06,3.93,4.09,07:43:48.467,-28:57:17.30,237
21,ffcam,HD 60062,116.72022641,81.6824405,,7.9,7.93,07:46:52.860,+81:40:56.70,69
92,hd64109,HD 64109,118.09430927,3.84314824,,7.99,7.89,07:52:22.627,+03:50:35.30,182
154,v420pup,HD 67698,122.0806601,-23.61778976,6.02,6.53,6.45,08:08:19.360,-23:37:04.00,209
93,hd83953,HD 83953,145.32086383,-23.59151484,4.07,4.754,4.632,09:41:17.007,-23:35:29.40,471
174,zetcrv,HD 107348,185.140175,-22.21590028,4.73,5.22,5.11,12:20:33.640,-22:12:57.20,497
7,48lib,HD 142983,239.54736956,-14.27935817,4.58,4.943,4.867,15:58:11.367,-14:16:45.70,471
17,delsco,HD 143275,240.08335535,-22.62170643,1.3,2.291,2.205,16:00:20.007,-22:37:18.10,84
119,sao8525,,246.34942625,79.26471417,,9.36,9.28,16:25:23.860,+79:15:52.90,395
30,hd154689,HD 154689,255.89179733,57.49978351,,8.18,8.19,17:02:14.0,57:30:15.4,1911
173,xxoph,HD 161114,265.98541341,-6.26909847,10.51,8.95,9.81,17:43:56.500,-06:16:08.70,289
141,v2385oph,HD 161543,266.56328013,-1.15004808,,8.84,8.97,17:46:15.187,-01:09:00.10,698
31,hd162428,HD 162428,267.50514475,24.46807415,,7.103,7.024,17:50:01.227,+24:28:05.00,698
32,hd164447,HD 164447,270.11523862,19.50578511,5.96,6.43,6.37,18:00:43.2,19:30:09.1,3017
158,v4379sgr,HD 165202,271.38880675,-19.75420491,,7.05,7.2,18:05:33.307,-19:45:15.10,415
33,hd168135,HD 168135,274.71123667,-12.45401333,,7.92,8.07,18:18:50.700,-12:27:14.40,415
34,hd169033,HD 169033,275.80067718,-12.01475191,5.46,5.705,5.711,18:23:12.160,-12:00:53.10,618
105,hip90252,,276.23032826,16.08137662,,9.06,9.1,18:24:55.280,+16:04:52.90,698
148,v4031sgr,HD 170235,277.34160933,-25.25660449,5.98,6.59,6.66,18:29:21.987,-25:15:23.70,247
35,hd173292,HD 173292,281.03815088,11.21530979,8.04,8.6,8.61,18:44:09.160,+11:12:55.10,698
36,hd173371,HD 173371,281.232975,-0.37343333,6.56,6.885,6.859,18:44:55.907,-00:22:24.30,470
37,hd174105,HD 174105,282.094378,15.39413507,,6.93,6.95,18:48:22.647,+15:23:38.80,704
39,hd175511,HD 175511,283.00919379,59.66703556,,6.94,6.9,18:52:02.207,+59:40:01.30,704
38,hd174886,HD 174886,283.31030778,-10.22013097,,7.77,7.86,18:53:14.467,-10:13:12.40,290
40,hd177648,HD 177648,286.16043394,23.32928185,6.85,7.234,7.32,19:04:38.500,+23:19:45.40,417
147,v4024sgr,HD 178175,287.0695946,-19.29028689,4.65,5.57,5.484,19:08:16.700,-19:17:25.00,618
41,hd178515,HD 178515,287.24517885,-3.34118756,,9.56,9.96,19:08:58.840,-03:20:28.20,334
42,hd179218,HD 179218,287.79689298,15.78767743,,7.39,7.476,19:11:11.247,+15:47:15.60,704
129,v1448aql,HD 180126,288.75597024,9.80761573,,7.99,8.14,19:15:01.427,+09:48:27.40,334
43,hd180398,HD 180398,288.99161866,13.10818121,,7.93,7.97,19:15:57.987,+13:06:29.40,704
160,v558lyr,HD 183362,291.90165132,37.94119683,5.46,6.294,6.175,19:27:36.400,+37:56:28.30,604
13,betcygB,HD 183914,292.68914764,27.9652764,4.69,5.088,5.027,19:30:45.627,+27:57:13.50,692
143,v2491cyg,,295.75816667,32.3205,9.02,9.03,9.21,19:43:01.960,+32:19:13.80,1503
130,v1463aql,HD 186456,296.06605955,7.58822249,7.65,8.15,8.21,19:44:15.847,+07:35:17.60,704
106,hip97275,,296.55650017,5.98813368,,8.46,8.42,19:46:13.560,+05:59:17.20,704
44,hd187350,HD 187350,297.38939159,-1.10103492,7.53,8.14,8.2,19:49:33.447,-01:06:03.70,704
126,v1339aql,HD 187567,297.57283096,7.90241483,5.71,6.484,6.399,19:50:18.120,+07:53:40.50,589
2,12vul,HD 187811,297.76711756,22.61004811,4.13,4.893,4.75,19:51:04.107,+22:36:36.10,705
146,v396vul,HD 187851,297.7697412,27.71690622,7.24,7.761,7.836,19:51:04.740,+27:43:00.80,337
142,v2468cyg,,299.639875,29.86988889,,7.6,,19:58:33.567,+29:52:11.50,1503
45,hd189689,HD 189689,300.02940541,32.789676,,7.282,7.221,20:00:07.060,+32:47:22.80,704
46,hd190150,HD 190150,300.69345292,21.8544247,,8.29,8.25,20:02:46.427,+21:51:15.90,704
47,hd190944,HD 190944,301.35692536,46.67181886,7.82,8.36,8.54,20:05:25.660,+46:40:18.50,338
12,becap,HD 191639,302.79198842,-8.84234472,5.42,6.445,6.288,20:11:10.080,-08:50:32.40,698
5,20vul,HD 192044,303.00292203,26.47880657,5.38,5.903,5.797,20:12:00.700,+26:28:43.70,705
48,hd192445,HD 192445,303.38745898,36.32838182,6.39,7.23,7.15,20:13:32.987,+36:19:42.10,337
131,v2113cyg,HD 193009,304.20075751,32.37983145,6.41,7.16,7.25,20:16:48.180,+32:22:47.40,337
132,v2119cyg,HD 194335,305.93487247,37.47644822,4.82,5.859,5.689,20:23:44.367,+37:28:35.20,643
50,hd195407,HD 195407,307.44901541,36.98038083,7.47,7.8,8.13,20:29:47.760,+36:58:49.30,250
49,hd195358,HD 195358,307.56016291,19.42103852,,6.81,6.72,20:30:14.440,+19:25:15.70,704
133,v2123cyg,HD 195907,308.27130602,31.65703122,7.11,7.82,7.85,20:33:05.107,+31:39:25.30,250
108,hr7890,HD 196712,309.80521151,-2.41297345,5.7,6.221,6.133,20:39:14.833,-02:25:20.00,589
51,hd197434,HD 197434,310.35500918,54.20942335,7.86,8.01,8.11,20:41:22.847,+54:12:34.10,381
134,v2135cyg,HD 198512,312.13655488,53.90610321,8.14,8.14,8.48,20:48:30.660,+53:54:24.30,381
96,hip102767,,312.31850598,47.05138567,10.44,9.52,9.65,20:49:16.440,+47:03:04.90,334
135,v2136cyg,HD 198625,312.47768865,46.66133725,,6.33,6.27,20:49:54.647,+46:39:40.80,703
151,v417cep,HD 198895,312.79161084,55.48874602,8.58,8.33,8.78,20:51:07.653,+55:29:19.50,381
152,v418cep,HD 239510,312.85048184,57.0619901,,9.34,9.66,20:52:05.713,+57:03:42.60,381
52,hd199218,HD 199218,313.59272704,40.70295947,6.22,6.696,6.615,20:54:22.247,+40:42:10.60,587
136,v2139cyg,HD 199356,313.84629977,40.30002786,6.52,7.157,7.295,20:55:23.107,+40:18:00.10,337
172,v832cyg,HD 200120,314.95648818,47.52095045,3.75,4.74,4.69,20:59:52.3,47:32:22.2,3345
125,v1331cyg,,315.288375,50.36243611,13.37,11.96,12.97,21:01:09.207,+50:21:44.70,273
98,hip103879,,315.73350287,46.27421877,,9.44,9.53,21:02:56.040,+46:16:27.20,334
53,hd200830,HD 200830,316.07588828,46.53132995,8.4,8.61,8.69,21:04:18.207,+46:31:52.80,703
74,hd239601,HD 239601,318.02029994,56.71854859,,9.28,9.58,21:12:04.867,+56:43:06.70,336
153,v420cep,HD 239618,318.68951538,59.76102848,8.53,8.66,9.01,21:14:45.480,+59:45:39.70,282
155,v421cep,HD 203025,319.32829329,58.61148335,6.12,6.432,6.58,21:17:15.520,+58:36:18.90,588
56,hd203374,HD 203374A,319.78066277,61.85845281,6.23,6.692,6.91,21:19:07.360,+61:51:30.40,393
55,hd203356,HD 203356,319.93725903,53.95149409,8.2,8.08,8.34,21:19:44.940,+53:57:05.30,239
137,v2153cyg,HD 203731,320.71312049,40.69724432,6.92,7.52,7.67,21:22:51.147,+40:41:50.00,336
111,ntpeg,HD 203699,320.89744081,14.050178,6.18,6.86,6.75,21:23:35.387,+14:03:00.60,415
138,v2155cyg,HD 204116,321.12640834,55.36673352,7.96,7.55,7.99,21:24:30.340,+55:22:00.20,470
139,v2163cyg,HD 204860,322.50372168,45.49418558,,6.944,6.904,21:30:00.887,+45:29:39.00,339
57,hd205060,HD 205060,322.90378907,42.70075539,,7.219,7.181,21:31:36.907,+42:42:02.70,338
109,hzaqr,,323.04970053,0.22170569,,9.89,10.85,21:32:11.927,+00:13:18.10,1044
58,hd205551,HD 205551,323.61442862,51.69846439,5.73,6.164,6.145,21:34:27.460,+51:41:54.40,703
140,v2166cyg,HD 205618,323.93532197,29.74552613,7.25,8.16,8.13,21:35:44.480,+29:44:43.80,282
18,epscap,HD 205637,324.27012783,-19.46601288,3.86,4.5,4.33,21:37:04.827,-19:27:57.60,644
99,hip106919,,324.80865045,57.8013188,,10.18,10.35,21:39:14.080,+57:48:04.70,208
100,hip107179,,325.63999401,58.24422263,9.7,9.76,10.03,21:42:33.600,+58:14:39.20,270
120,sscyg,HD 206697,325.67835,43.58607778,11.07,12.1,8.2,21:42:42.800,+43:35:09.80,208
60,hd207232,HD 207232,326.51178129,50.67415179,,7.033,6.967,21:46:02.827,+50:40:26.90,339
61,hd207329,HD 207329,326.64327262,52.12414733,7.33,7.6,7.89,21:46:34.380,+52:07:26.90,604
62,hd207370,HD 207370,326.92025013,31.52842194,,8.44,8.38,21:47:40.860,+31:31:42.30,589
10,agpeg,HD 207757,327.75822552,12.62558939,,8.65,9.81,21:50:50.2,12:38:16.1,2061
11,bd483561,,329.48062303,49.06786458,,9.45,9.55,21:57:55.347,+49:04:04.30,257
64,hd209296,HD 209296,330.16788529,56.71062729,,8.29,8.51,22:00:40.287,+56:42:38.20,84
112,omiaqr,HD 209409,330.82851679,-2.15536298,4.22,4.7,4.63,22:03:18.840,-02:09:19.30,691
144,v357lac,HD 212044,335.09462876,51.8610013,6.11,6.98,7.02,22:20:22.707,+51:51:39.60,697
9,8lacA,HD 214167,338.96785177,39.63432861,4.68,5.73,5.58,22:35:52.287,+39:38:03.50,703
19,epspsa,HD 214748,340.1639198,-27.04361546,3.69,4.18,4.086,22:40:39.340,-27:02:37.00,247
156,v423lac,HD 216851,343.94609641,43.5592867,7.55,7.97,8.02,22:55:47.060,+43:33:33.40,333
145,v378and,HD 217543,345.22811837,38.70784392,5.78,6.555,6.44,23:00:54.747,+38:42:28.20,703
110,kyand,** HDS 3296,347.31977155,49.65061347,6.17,6.758,6.713,23:09:16.747,+49:39:02.20,703
169,v813cas,HD 220300,350.54360005,56.34822529,7.6,7.93,8.01,23:22:10.460,+56:20:53.60,254
170,v817cas,HD 223036,356.47941839,54.73539769,7.79,8.5,8.51,23:45:55.060,+54:44:07.40,604
171,v818cas,HD 223501,357.47133135,62.21409218,7.14,7.74,7.74,23:49:53.120,+62:12:50.70,287
101,hip117700,,358.05056463,67.16873781,,9.97,10.43,23:52:12.127,+67:10:07.40,291
102,hip118118,,359.39208649,66.43162317,,10.17,10.95,23:57:34.100,+66:25:53.80,208
26,hd12953,HD 12953,32.16907999,58.42360105,6.48,5.725,6.242,2:09:32.4,58:27:28.0,2970
121,the1oriD,HD 37023,83.82163535,-5.38765726,5.96,6.71,6.79,5:34:30.9,-5:18:55.7,2432
113,otgem,HD 58050,111.11520039,15.51719613,5.39,6.448,6.261,7:24:26.7,15:30:53.4,471
